key,en
whitelist mint begin,whitelist mint begin
you are in whitelist,you are in whitelist
you are not in whitelist,you are not in whitelist
Opensea Creator Fee Support,Opensea Creator Fee Support
supported,supported
not support,not support
Create Generative Collection,Create Generative Collection
The smart tool by ManeSTUDIO allows artists to create their own collections by simply uploading traits in different layers.,The smart tool by ManeSTUDIO allows artists to create their own collections by simply uploading traits in different layers.
You can easily tweak the rarity of each trait with the built-in editor.,You can easily tweak the rarity of each trait with the built-in editor.
Batch Upload Artworks,Batch Upload Artworks
"Batch upload already finished artworks, add properties manually","Batch upload already finished artworks, add properties manually"
"Recommened for artists who want to create a collection of small amount, like 1-100","Recommened for artists who want to create a collection of small amount, like 1-100"
